name,image_url
Max Aarons,https://resources.premierleague.com/premierleague/photos/players/40x40/p232980.png
Zach Abbott,https://resources.premierleague.com/premierleague/photos/players/40x40/p549067.png
Josh Acheampong,https://resources.premierleague.com/premierleague/photos/players/40x40/p577016.png
Adam Armstrong,https://resources.premierleague.com/premierleague/photos/players/40x40/p155511.png
Tyler Adams,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Tosin Adarabioyo,https://resources.premierleague.com/premierleague/photos/players/40x40/p109646.png
Tayo Adaramola,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Valintino Adedokun,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Simon Adingra,https://resources.premierleague.com/premierleague/photos/players/40x40/p535818.png
Adrián,https://resources.premierleague.com/premierleague/photos/players/40x40/p60706.png
Daniel Adu-Adjei,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Asher Agbinone,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Nayef Aguerd,https://resources.premierleague.com/premierleague/photos/players/40x40/p210494.png
Brandon Aguilera,https://resources.premierleague.com/premierleague/photos/players/40x40/p461682.png
Gassan Ahadme,https://resources.premierleague.com/premierleague/photos/players/40x40/p476586.png
Naouirou Ahamada,https://resources.premierleague.com/premierleague/photos/players/40x40/p466117.png
Ola Aina,https://resources.premierleague.com/premierleague/photos/players/40x40/p159506.png
Rayan Aït-Nouri,https://resources.premierleague.com/premierleague/photos/players/40x40/p448514.png
Damola Ajayi,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Kristoffer Ajer,https://resources.premierleague.com/premierleague/photos/players/40x40/p191866.png
Romeo Akachukwu,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Manuel Akanji,https://resources.premierleague.com/premierleague/photos/players/40x40/p211975.png
Nathan Aké,https://resources.premierleague.com/premierleague/photos/players/40x40/p126184.png
Yunus Akgün,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Marc Albrighton,https://resources.premierleague.com/premierleague/photos/players/40x40/p51938.png
Thiago Alcântara,https://resources.premierleague.com/premierleague/photos/players/40x40/p61558.png
Carlos Alcaraz,https://resources.premierleague.com/premierleague/photos/players/40x40/p502697.png
Trent Alexander-Arnold,https://resources.premierleague.com/premierleague/photos/players/40x40/p169187.png
Farid Alfa-Ruprecht,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Alfie Harrison,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Ali Al-Hamadi,https://resources.premierleague.com/premierleague/photos/players/40x40/p462387.png
Alisson Becker,https://resources.premierleague.com/premierleague/photos/players/40x40/p116535.png
Sonny Aljofree,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Max Alleyne,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Dele Alli,https://resources.premierleague.com/premierleague/photos/players/40x40/p108823.png
Miguel Almirón,https://resources.premierleague.com/premierleague/photos/players/40x40/p179018.png
Sone Aluko,https://resources.premierleague.com/premierleague/photos/players/40x40/p27503.png
Julián Alvarez,https://resources.premierleague.com/premierleague/photos/players/40x40/p461358.png
Will Alves,https://resources.premierleague.com/premierleague/photos/players/40x40/p532534.png
Steven Alzate,https://resources.premierleague.com/premierleague/photos/players/40x40/p235382.png
Harry Amass,https://resources.premierleague.com/premierleague/photos/players/40x40/p577974.png
Sam Amo-Ameyaw,https://resources.premierleague.com/premierleague/photos/players/40x40/p499724.png
Sofyan Amrabat,https://resources.premierleague.com/premierleague/photos/players/40x40/p172912.png
Joseph Anang,https://resources.premierleague.com/premierleague/photos/players/40x40/p447879.png
Joachim Andersen,https://resources.premierleague.com/premierleague/photos/players/40x40/p174874.png
Elliot Anderson,https://resources.premierleague.com/premierleague/photos/players/40x40/p215379.png
André,https://resources.premierleague.com/premierleague/photos/players/40x40/p509291.png
André Gomes,https://resources.premierleague.com/premierleague/photos/players/40x40/p120250.png
Andreas Pereira,https://resources.premierleague.com/premierleague/photos/players/40x40/p156689.png
Andrey Santos,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Vincent Angelini,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Ângelo,https://resources.premierleague.com/premierleague/photos/players/40x40/p518620.png
Tino Anjorin,https://resources.premierleague.com/premierleague/photos/players/40x40/p223332.png
Aaron Anselmino,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Jaidon Anthony,https://resources.premierleague.com/premierleague/photos/players/40x40/p444180.png
Michail Antonio,https://resources.premierleague.com/premierleague/photos/players/40x40/p57531.png
Antony,https://resources.premierleague.com/premierleague/photos/players/40x40/p467169.png
Julián Araujo,https://resources.premierleague.com/premierleague/photos/players/40x40/p436893.png
Cameron Archer,https://resources.premierleague.com/premierleague/photos/players/40x40/p433979.png
Alphonse Areola,https://resources.premierleague.com/premierleague/photos/players/40x40/p84182.png
Joe Aribo,https://resources.premierleague.com/premierleague/photos/players/40x40/p193204.png
Harrison Armstrong,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Harry Arter,https://resources.premierleague.com/premierleague/photos/players/40x40/p48615.png
Benjamin Arthur,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Harrison Ashby,https://resources.premierleague.com/premierleague/photos/players/40x40/p441024.png
Noël Atom,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Sèrge Aurier,https://resources.premierleague.com/premierleague/photos/players/40x40/p80226.png
Brandon Austin,https://resources.premierleague.com/premierleague/photos/players/40x40/p214572.png
Taiwo Awoniyi,https://resources.premierleague.com/premierleague/photos/players/40x40/p210156.png
Yasin Ayari,https://resources.premierleague.com/premierleague/photos/players/40x40/p509416.png
Jordan Ayew,https://resources.premierleague.com/premierleague/photos/players/40x40/p80146.png
Leon Ayinde,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Trialist B,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
